548,1
11,0
566,2
118,0
217,4
354,0
117,2
628,2
1005,1
942,4
627,1
298,3
14,0
311,3
440,2
500,1
208,3
646,2
650,1
150,0
1123,2
466,1
651,0
496,2
287,3
517,3
670,3
721,4
406,4
933,4
83,3
708,4
970,3
565,3
211,0
186,4
190,1
280,2
165,3
778,1
1004,3
428,3
706,4
441,0
426,1
1056,2
424,2
1036,2
1071,1
987,1
796,1
51,2
633,1
811,1
179,4
614,3
507,3
358,4
812,4
71,4
859,1
586,1
160,3
24,4
380,3
603,0
411,4
863,1
1019,4
68,3
581,1
25,0
198,2
869,3
497,4
872,3
0,1
533,3
178,1
558,2
870,3
414,2
394,0
200,4
886,2
853,3
950,1
64,3
462,4
21,4
645,0
1037,4
1006,1
313,3
571,0
483,0
900,0
890,0
909,2
79,1
